action_id	action_type	action_params	session_id	user_id	project_id	creation_time	parent_display_id	child_display_id	solution
1	filter	"{""field"": ""category"", ""term"": ""Electronics"", ""condition"": 8}"	-99	-99	0	2024-01-02 11:00:00	1	2	True
2	group	"{""field"": ""region"", ""aggregations"": []}"	-99	-99	0	2024-01-03 12:00:00	2	3	True
3	sort	"{""field"": ""amount""}"	-99	-99	0	2024-01-04 13:00:00	3	4	True
4	filter	"{""field"": ""category"", ""term"": ""Electronics"", ""condition"": 8}"	-99	-98	0	2024-01-02 11:00:00	4	5	True
5	group	"{""field"": ""region"", ""aggregations"": []}"	-99	-98	0	2024-01-03 12:00:00	5	6	True
6	sort	"{""field"": ""amount""}"	-99	-98	0	2024-01-04 13:00:00	6	7	True
7	filter	"{""field"": ""region"", ""term"": ""North"", ""condition"": 8}"	-98	-99	0	2024-01-02 11:00:00	7	8	True
8	group	"{""field"": ""category"", ""aggregations"": [{""field"": ""amount"", ""type"": ""sum""}]}"	-98	-99	0	2024-01-03 12:00:00	8	9	True
9	sort	"{""field"": ""amount""}"	-98	-99	0	2024-01-04 13:00:00	9	10	True
10	filter	"{""field"": ""region"", ""term"": ""North"", ""condition"": 8}"	-98	-98	0	2024-01-02 11:00:00	10	11	True
11	group	"{""field"": ""category"", ""aggregations"": [{""field"": ""amount"", ""type"": ""sum""}]}"	-98	-98	0	2024-01-03 12:00:00	11	12	True
12	sort	"{""field"": ""amount""}"	-98	-98	0	2024-01-04 13:00:00	12	13	True
13	filter	"{""field"": ""payment_method"", ""term"": ""Credit"", ""condition"": 8}"	-97	-99	0	2024-01-02 11:00:00	13	14	True
14	filter	"{""field"": ""amount"", ""term"": ""100"", ""condition"": 32}"	-97	-99	0	2024-01-03 12:00:00	14	15	True
15	group	"{""field"": ""customer_id"", ""aggregations"": [{""field"": ""amount"", ""type"": ""count""}]}"	-97	-99	0	2024-01-04 13:00:00	15	16	True
16	filter	"{""field"": ""payment_method"", ""term"": ""Credit"", ""condition"": 8}"	-97	-98	0	2024-01-02 11:00:00	16	17	True
17	filter	"{""field"": ""amount"", ""term"": ""100"", ""condition"": 32}"	-97	-98	0	2024-01-03 12:00:00	17	18	True
18	group	"{""field"": ""customer_id"", ""aggregations"": [{""field"": ""amount"", ""type"": ""count""}]}"	-97	-98	0	2024-01-04 13:00:00	18	19	True
19	filter	"{""field"": ""category"", ""term"": ""Electronics"", ""condition"": 8}"	-89	-99	0	2024-01-02 11:00:00	19	20	True
20	group	"{""field"": ""region"", ""aggregations"": []}"	-89	-99	0	2024-01-03 12:00:00	20	21	True
21	sort	"{""field"": ""amount""}"	-89	-99	0	2024-01-04 13:00:00	21	22	True
22	filter	"{""field"": ""category"", ""term"": ""Electronics"", ""condition"": 8}"	-89	-98	0	2024-01-02 11:00:00	22	23	True
23	group	"{""field"": ""region"", ""aggregations"": []}"	-89	-98	0	2024-01-03 12:00:00	23	24	True
24	sort	"{""field"": ""amount""}"	-89	-98	0	2024-01-04 13:00:00	24	25	True
25	filter	"{""field"": ""region"", ""term"": ""North"", ""condition"": 8}"	-88	-99	0	2024-01-02 11:00:00	25	26	True
26	group	"{""field"": ""category"", ""aggregations"": [{""field"": ""amount"", ""type"": ""sum""}]}"	-88	-99	0	2024-01-03 12:00:00	26	27	True
27	sort	"{""field"": ""amount""}"	-88	-99	0	2024-01-04 13:00:00	27	28	True
28	filter	"{""field"": ""region"", ""term"": ""North"", ""condition"": 8}"	-88	-98	0	2024-01-02 11:00:00	28	29	True
29	group	"{""field"": ""category"", ""aggregations"": [{""field"": ""amount"", ""type"": ""sum""}]}"	-88	-98	0	2024-01-03 12:00:00	29	30	True
30	sort	"{""field"": ""amount""}"	-88	-98	0	2024-01-04 13:00:00	30	31	True
31	filter	"{""field"": ""payment_method"", ""term"": ""Credit"", ""condition"": 8}"	-87	-99	0	2024-01-02 11:00:00	31	32	True
32	filter	"{""field"": ""amount"", ""term"": ""100"", ""condition"": 32}"	-87	-99	0	2024-01-03 12:00:00	32	33	True
33	group	"{""field"": ""customer_id"", ""aggregations"": [{""field"": ""amount"", ""type"": ""count""}]}"	-87	-99	0	2024-01-04 13:00:00	33	34	True
34	filter	"{""field"": ""payment_method"", ""term"": ""Credit"", ""condition"": 8}"	-87	-98	0	2024-01-02 11:00:00	34	35	True
