display_id	filtering	sorting	grouping	aggregations	data_layer	granularity_layer	projected_fields	session_id	user_id	project_id	solution
1	"{""list"": []}"	"{""list"": []}"	"{""list"": []}"		"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"		"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	1	1	True
2	"{""list"": []}"	"{""list"": []}"	"{""list"": [{""field"": ""region"", ""groupPriority"": 0}]}"	"{""list"": []}"	"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"	"{""size_mean"": 100, ""group_attrs"": [""region""]}"	"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	1	1	True
3	"{""list"": []}"	"{""list"": [{""field"": ""amount""}]}"	"{""list"": [{""field"": ""region"", ""groupPriority"": 0}]}"	"{""list"": []}"	"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"	"{""size_mean"": 100, ""group_attrs"": [""region""]}"	"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	1	1	True
4	"{""list"": []}"	"{""list"": [{""field"": ""amount""}]}"	"{""list"": [{""field"": ""region"", ""groupPriority"": 0}]}"	"{""list"": []}"	"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"	"{""size_mean"": 100, ""group_attrs"": [""region""]}"	"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	1	1	True
5	"{""list"": []}"	"{""list"": []}"	"{""list"": []}"		"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"		"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	2	1	True
6	"{""list"": []}"	"{""list"": []}"	"{""list"": [{""field"": ""region"", ""groupPriority"": 0}]}"	"{""list"": []}"	"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"	"{""size_mean"": 100, ""group_attrs"": [""region""]}"	"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	2	1	True
7	"{""list"": []}"	"{""list"": [{""field"": ""amount""}]}"	"{""list"": [{""field"": ""region"", ""groupPriority"": 0}]}"	"{""list"": []}"	"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"	"{""size_mean"": 100, ""group_attrs"": [""region""]}"	"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	2	1	True
8	"{""list"": []}"	"{""list"": [{""field"": ""amount""}]}"	"{""list"": [{""field"": ""region"", ""groupPriority"": 0}]}"	"{""list"": []}"	"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"	"{""size_mean"": 100, ""group_attrs"": [""region""]}"	"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	1	2	1	True
9	"{""list"": []}"	"{""list"": []}"	"{""list"": []}"		"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"		"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	2	1	1	True
10	"{""list"": []}"	"{""list"": []}"	"{""list"": [{""field"": ""region"", ""groupPriority"": 0}]}"	"{""list"": []}"	"{""transaction_id"": {""unique"": 1.0, ""entropy"": 1.0}, ""customer_id"": {""unique"": 0.1, ""entropy"": 0.5}, ""amount"": {""unique"": 0.95, ""entropy"": 0.9}, ""category"": {""unique"": 0.004, ""entropy"": 0.15}, ""region"": {""unique"": 0.004, ""entropy"": 0.15}, ""is_returned"": {""unique"": 0.002, ""entropy"": 0.1}, ""payment_method"": {""unique"": 0.003, ""entropy"": 0.12}, ""date"": {""unique"": 0.99, ""entropy"": 0.95}}"	"{""size_mean"": 100, ""group_attrs"": [""region""]}"	"{""list"": [{""field"": ""transaction_id""}, {""field"": ""customer_id""}, {""field"": ""amount""}, {""field"": ""category""}, {""field"": ""region""}, {""field"": ""is_returned""}, {""field"": ""payment_method""}, {""field"": ""date""}]}"	2	1	1	True
