action_id	session_id	project_id	action_type	action_params	parent_display_id	child_display_id	solution
1	0_0	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	1	2	1
2	0_0	0	filter	{'field': 'http://www.wikidata.org/entity/P31', 'num_triples': 2, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	2	3	1
3	0_0	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 1000000, 'offset': None, 'optional': 1, 'union': 0}	3	4	1
4	0_0	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 500000, 'offset': None, 'optional': 1, 'union': 0}	4	5	1
5	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	6	7	1
6	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	7	8	1
7	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 6, 'num_filters': 2, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	8	9	1
8	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 3, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	9	10	1
9	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 7, 'num_filters': 3, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	10	11	1
10	0_1	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 6, 'num_filters': 3, 'limit': None, 'offset': None, 'optional': 4, 'union': 0}	11	12	1
11	0_2	0	filter	{'field': 'http://www.wikidata.org/entity/P31', 'num_triples': 2, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 1, 'union': 0}	13	14	1
12	0_2	0	filter	{'field': 'http://www.wikidata.org/entity/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 50, 'offset': None, 'optional': 1, 'union': 0}	14	15	1
13	0_2	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 2, 'num_filters': 1, 'limit': 50, 'offset': None, 'optional': 1, 'union': 0}	15	16	1
14	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	17	18	1
15	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	18	19	1
16	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	19	20	1
17	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	20	21	1
18	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	21	22	1
19	0_3	0	filter	{'field': 'http://www.wikidata.org/prop/P31', 'num_triples': 7, 'num_filters': 4, 'limit': None, 'offset': None, 'optional': 5, 'union': 0}	22	23	1
20	0_4	0	filter	{'field': 'http://www.wikidata.org/prop/direct/P218', 'num_triples': 1, 'num_filters': 1, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	24	25	1
21	0_4	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': None, 'offset': None, 'optional': 0, 'union': 0}	25	26	1
22	0_4	0	extension	{'field': 'http://www.wikidata.org/prop/direct/P31', 'num_triples': 1, 'num_filters': 0, 'limit': 100, 'offset': None, 'optional': 0, 'union': 0}	26	27	1
