display_id	session_id	query_index
1	0_0	0
2	0_0	1
3	0_0	2
4	0_0	3
5	0_0	4
6	0_1	0
7	0_1	1
8	0_1	2
9	0_1	3
10	0_1	4
11	0_1	5
12	0_1	6
13	0_2	0
14	0_2	1
15	0_2	2
16	0_2	3
17	0_3	0
18	0_3	1
19	0_3	2
20	0_3	3
21	0_3	4
22	0_3	5
23	0_3	6
24	0_4	0
25	0_4	1
26	0_4	2
27	0_4	3
28	0_4	4
29	0_4	5
30	0_5	0
31	0_5	1
32	0_5	2
33	0_5	3
34	0_6	0
35	0_6	1
36	0_6	2
37	0_6	3
38	1_0	0
39	1_0	1
40	1_0	2
41	1_0	3
42	1_0	4
43	1_0	5
44	1_0	6
45	1_0	7
46	1_0	8
47	1_0	9
48	1_0	10
49	1_0	11
50	1_1	0
51	1_1	1
52	1_1	2
53	1_1	3
54	1_1	4
55	1_1	5
56	1_1	6
57	1_1	7
58	1_2	0
59	1_2	1
60	1_2	2
61	1_2	3
62	1_2	4
63	1_2	5
64	1_2	6
65	1_2	7
66	1_2	8
67	1_3	0
68	1_3	1
69	1_3	2
70	1_3	3
71	1_3	4
72	1_3	5
73	1_3	6
74	1_3	7
75	1_4	0
76	1_4	1
77	1_4	2
78	1_5	0
79	1_5	1
80	1_5	2
81	1_5	3
82	1_6	0
83	1_6	1
84	1_6	2
85	2_0	0
86	2_0	1
87	2_0	2
88	2_0	3
89	2_1	0
90	2_1	1
91	2_1	2
92	2_1	3
93	2_2	0
94	2_2	1
95	2_2	2
96	2_2	3
97	2_2	4
98	2_3	0
99	2_3	1
100	2_3	2
101	2_3	3
102	2_3	4
103	2_3	5
104	2_3	6
105	2_3	7
106	2_3	8
107	2_3	9
108	2_3	10
109	2_3	11
110	2_3	12
111	2_3	13
112	2_3	14
113	2_4	0
114	2_4	1
115	2_4	2
116	2_4	3
117	2_5	0
118	2_5	1
119	2_5	2
120	2_5	3
121	2_5	4
122	2_6	0
123	2_6	1
124	2_6	2
125	2_6	3
126	2_6	4
127	2_6	5
128	2_6	6
129	2_6	7
130	2_6	8
131	3_0	0
132	3_0	1
133	3_0	2
134	3_0	3
135	3_1	0
136	3_1	1
137	3_1	2
138	3_1	3
139	3_1	4
140	3_1	5
141	3_2	0
142	3_2	1
143	3_3	0
144	3_3	1
145	3_3	2
146	3_3	3
147	3_3	4
148	3_4	0
149	3_4	1
150	3_4	2
151	3_4	3
152	3_4	4
153	3_5	0
154	3_5	1
155	3_5	2
156	3_5	3
157	3_6	0
158	3_6	1
159	3_6	2
160	3_6	3
161	3_7	0
162	3_7	1
163	3_7	2
164	3_7	3
165	3_7	4
166	3_7	5
167	3_7	6
168	3_7	7
169	3_7	8
170	3_7	9
171	3_7	10
172	3_7	11
173	3_7	12
174	3_8	0
175	3_8	1
176	3_8	2
177	3_8	3
